Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Libellé Budget;Agrégat;Montant BP;Montant BA;Montant flux BP-BA;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243300811;Communauté de communes de l'Estuaire;3;Oui;Non;Non;1;Non;33073;Braud-et-Saint-Louis;Commune;213300734;33073;BRAUD-ET-SAINT-LOUIS;Dépenses d'équipement;10295479.17;72215.88;0.0;10367695.05;10.36769505;1540;6732.2695129870135;1;;;;;;;;2;;;2024;1540
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200044394;Communauté de communes du Réolais en Sud Gironde;2;Oui;Non;Non;1;Non;33074;Brouqueyran;Commune;213300742;33074;BROUQUEYRAN;Dépenses d'équipement;25276.15;0.0;0.0;25276.15;0.02527615;211;119.79218009478673;1;;;;;;;;2;;;2024;211
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243300316;Bordeaux Métropole;8;Non;Non;Non;2;Non;33075;Bruges;Commune;213300759;33075;BRUGES;Dépenses d'équipement;5042722.22;0.0;0.0;5042722.22;5.04272222;20437;246.74473846454958;1;;;;;;;;2;;;2024;20437
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200069581;Communauté de communes Convergence Garonne;3;Oui;Non;Non;2;Non;33076;Budos;Commune;213300767;33076;BUDOS;Dépenses d'équipement;51088.6;0.0;0.0;51088.6;0.0510886;828;61.7012077294686;1;;;;;;;;2;;;2024;828
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301264;Communauté de communes de Montesquieu;4;Oui;Non;Non;2;Non;33077;Cabanac-et-Villagrains;Commune;213300775;33077;CABANAC-ET-VILLAGRAINS;Dépenses d'équipement;536063.26;156434.85;0.0;692498.11;0.69249811;2444;283.34619885433716;1;;;;;;;;2;;;2024;2444
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301454;Communauté de communes Castillon/Pujols;3;Oui;Non;Non;2;Non;33078;Cabara;Commune;213300783;33078;CABARA;Dépenses d'équipement;174545.52;0.0;0.0;174545.52;0.17454551999999998;506;344.95162055335965;1;;;;;;;;2;;;2024;506
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200070092;Communauté d'agglomération du Libournais;2;Non;Non;Non;2;Non;33079;Cadarsac;Commune;213300791;33079;CADARSAC;Dépenses d'équipement;23869.26;0.0;0.0;23869.26;0.02386926;354;67.42728813559322;1;;;;;;;;2;;;2024;354
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301264;Communauté de communes de Montesquieu;6;Non;Non;Non;2;Non;33080;Cadaujac;Commune;213300809;33080;CADAUJAC;Dépenses d'équipement;1533943.12;113088.94;0.0;1647032.06;1.6470320600000001;6742;244.2942835953723;1;;;;;;;;2;;;2024;6742
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200069581;Communauté de communes Convergence Garonne;4;Non;Non;Non;1;Non;33081;Cadillac-sur-Garonne;Commune;213300817;33081;CADILLAC SUR GARONNE;Dépenses d'équipement;538026.71;0.0;0.0;538026.71;0.5380267099999999;2812;191.3324004267425;1;;;;;;;;2;;;2024;2812
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301397;Communauté de communes du Fronsadais;3;Non;Non;Non;2;Non;33082;Cadillac-en-Fronsadais;Commune;213300825;33082;CADILLAC-EN-FRONSADAIS;Dépenses d'équipement;361692.9;0.0;0.0;361692.9;0.36169290000000004;1371;263.8168490153173;1;;;;;;;;2;;;2024;1371
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301355;Communauté de communes Les Coteaux Bordelais;3;Non;Non;Non;2;Non;33083;Camarsac;Commune;213300833;33083;CAMARSAC;Dépenses d'équipement;80856.94;20216.6;0.0;101073.54;0.10107353999999999;1036;97.56133204633204;1;;;;;;;;2;;;2024;1036
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301439;Communauté de communes des Portes de l'Entre-Deux-Mers;3;Non;Non;Non;2;Non;33084;Cambes;Commune;213300841;33084;CAMBES;Dépenses d'équipement;1019599.92;0.0;0.0;1019599.92;1.01959992;1829;557.4630508474577;1;;;;;;;;2;;;2024;1829
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301439;Communauté de communes des Portes de l'Entre-Deux-Mers;4;Non;Non;Non;3;Non;33085;Camblanes-et-Meynac;Commune;213300858;33085;CAMBLANES-ET-MEYNAC;Dépenses d'équipement;1523707.26;0.0;0.0;1523707.26;1.5237072600000001;3238;470.5704941321804;1;;;;;;;;2;;;2024;3238
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301215;Communauté de communes du Créonnais;2;Oui;Non;Non;2;Non;33086;Camiac-et-Saint-Denis;Commune;213300866;33086;CAMIAC-ET-SAINT-DENIS;Dépenses d'équipement;65294.78;0.0;0.0;65294.78;0.06529478;367;177.91493188010898;1;;;;;;;;2;;;2024;367
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200044394;Communauté de communes du Réolais en Sud Gironde;2;Non;Non;Non;1;Non;33087;Camiran;Commune;213300874;33087;CAMIRAN;Dépenses d'équipement;13179.1;0.0;0.0;13179.1;0.013179100000000001;420;31.378809523809526;1;;;;;;;;2;;;2024;420
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200070092;Communauté d'agglomération du Libournais;3;Non;Non;Non;1;Non;33088;Camps-sur-l'Isle;Commune;213300882;33088;CAMPS-SUR-L'ISLE;Dépenses d'équipement;678267.89;0.0;0.0;678267.89;0.67826789;629;1078.3273290937998;1;;;;;;;;2;;;2024;629
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200023794;Communauté de communes de Blaye;3;Oui;Non;Non;1;Non;33089;Campugnan;Commune;213300890;33089;CAMPUGNAN;Dépenses d'équipement;205118.76;0.0;0.0;205118.76;0.20511876;519;395.2191907514451;1;;;;;;;;2;;;2024;519
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301165;Communauté de communes Jalle-Eau-Bourde;6;Non;Non;Non;2;Non;33090;Canéjan;Commune;213300908;33090;CANEJAN;Dépenses d'équipement;1893685.81;524454.65;0.0;2418140.46;2.41814046;5994;403.42683683683686;1;;;;;;;;2;;;2024;5994
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301215;Communauté de communes du Créonnais;3;Oui;Non;Non;2;Non;33093;Capian;Commune;213300932;33093;CAPIAN;Dépenses d'équipement;25389.07;0.0;0.0;25389.07;0.02538907;796;31.895816582914573;1;;;;;;;;2;;;2024;796
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301371;Communauté de communes du Pays Foyen;2;Oui;Non;Non;2;Non;33094;Caplong;Commune;213300940;33094;CAPLONG;Dépenses d'équipement;63299.32;0.0;0.0;63299.32;0.06329932;239;264.85071129707114;1;;;;;;;;2;;;2024;239
